[mV]
0;120
194;120
200;119
206;118
212;117
218;116
225;115
231;114
237;113
243;112
249;111
255;110
263;109
272;108
280;107
289;106
297;105
305;104
314;103
322;102
331;101
339;100
351;99
363;98
375;97
387;96
399;95
410;94
422;93
434;92
446;91
458;90
475;89
492;88
509;87
526;86
543;85
560;84
577;83
594;82
611;81
628;80
653;79
678;78
702;77
727;76
752;75
777;74
802;73
826;72
851;71
876;70
913;69
950;68
986;67
1023;66
1060;65
1097;64
1134;63
1170;62
1207;61
1244;60
1300;59
1355;58
1467;56
1523;55
1578;54
1634;53
1690;52
1745;51
1801;50
1887;49
1973;48
2059;47
2145;46
2232;45
2318;44
2404;43
2490;42
2662;40
2799;39
2935;38
3072;37
3208;36
3345;35
3482;34
3618;33
3755;32
3891;31
4028;30
4250;29
4472;28
4694;27
4916;26
5000;25
5359;24
5581;23
5803;22
6025;21
6247;20
6618;19
6988;18
7359;17
7729;16
8100;15
8470;14
8841;13
9211;12
9582;11
9952;10
10589;9
11227;8
11864;7
12501;6
13139;5
13776;4
14413;3
15050;2
15688;1
16325;0
17457;-1
18590;-2
19722;-3
20000;0
